"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9100LCHESDE","LCHESDE","LCS","Locheilside Rail Station","","U",199500,778600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ACHHSHL","ACHHSHL","ACH","Achnashellach Rail Station","","U",200290,848440,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100TAYNULT","TAYNULT","TAY","Taynuilt Rail Station","","U",200340,731220,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100LAMPHEY","LAMPHEY","LAM","Lamphey Rail Station","","U",201400,200400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CLARBRD","CLARBRD","CLR","Clarbeston Road Rail Station","","U",201500,220940,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100STAUSTL","STAUSTL","SAU","St Austell Rail Station","","U",201611,52565,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100BUGLE","BUGLE","BGL","Bugle Rail Station","","U",201670,59335,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100LUXULYN","LUXULYN","LUX","Luxulyan Rail Station","","U",204805,58070,"2003-11-04T00:00:00","2011-09-30T14:47:28",2,"rev"
"9100LCEILOB","LCEILOB","LHE","Loch Eil Outward Bound Rail Station","","U",205500,778300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100STRNRR","STRNRR","STR","Stranraer Rail Station","","U",206200,561400,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100MNORBER","MNORBER","MRB","Manorbier Rail Station","","U",207000,199400,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PARR","PARR","PAR","Par Rail Station","","U",207700,54100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100FLSCRHN","FLSCRHN","FOC","Falls of Cruachan Rail Station","","U",207990,726750,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CORPACH","CORPACH","CPA","Corpach Rail Station","","U",209680,776720,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100FRTWLM","FRTWLM","FTW","Fort William Rail Station","","U",210531,774186,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100LSTWTHL","LSTWTHL","LOS","Lostwithiel Rail Station","","U",210660,59765,"2003-11-04T00:00:00","2011-09-30T14:47:28",4,"rev"
"9100BODMNPW","BODMNPW","BOD","Bodmin Parkway Rail Station","","U",211030,64058,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BANAVIE","BANAVIE","BNV","Banavie Rail Station","","U",211300,776700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100PNALLY","PNALLY","PNA","Penally Rail Station","","U",211820,199080,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CLYNDRW","CLYNDRW","CUW","Clunderwen Rail Station","","U",211900,219300,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100NRBERTH","NRBERTH","NAR","Narberth Rail Station","","U",212050,214710,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100LOCHAWE","LOCHAWE","LHA","Loch Awe Rail Station","","U",212380,727460,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100SDRSFOT","SDRSFOT","SDF","Saundersfoot Rail Station","","U",212460,206090,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100KILGETY","KILGETY","KGT","Kilgetty Rail Station","","U",212600,207200,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100TENBY","TENBY","TEN","Tenby Rail Station","","U",212940,200600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100DLMALLY","DLMALLY","DAL","Dalmally Rail Station","","U",215980,727210,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100ACHNSHN","ACHNSHN","ACN","Achnasheen Rail Station","","U",216403,858519,"2003-11-04T00:00:00","2010-02-25T14:54:15",2,"rev"
"9100GIRVAN","GIRVAN","GIR","Girvan Rail Station","","U",219030,598380,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100WEMYSSB","WEMYSSB","WMS","Wemyss Bay Rail Station","","U",219360,668550,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100WHLAND","WHLAND","WTL","Whitland Rail Station","","U",219900,216500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100LARGS","LARGS","LAR","Largs Rail Station","","U",220344,659215,"2003-11-04T00:00:00","2006-09-18T18:24:34",2,"rev"
"9100INVERKP","INVERKP","INP","Inverkip Rail Station","","U",220530,671840,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100WKILBRD","WKILBRD","WKB","West Kilbride Rail Station","","U",220870,648430,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100FAIRLIE","FAIRLIE","FRL","Fairlie Rail Station","","U",221030,654640,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
