shipname;mmsi
FRIO CHIKUMA;353306000
TAI NING;353482000
SEA REEFER;353509000
OCEAN STAR 86;353709000
ASIAN BRIER;353773000
HONGYING;353901000
SANWA FONTAINE;353937000
TAGANROGSKIY ZALIV;353946000
MV FRIO HELLENIC;353981000
FRIO ATHENS;353982000
SHEN  JU;354003000
HAI FENG 668;354062000
TAGANROGSKIY ZALIV;354240000
FONG QUN;354260000
COOL GIRL;354294000
YACHIYO;354424000
BAO LUCKY;354458000
XING YUN;354461000
HAI FENG 658;354469000
MABAH;354493000
EITA MARU;354683000
HAI FENG 648;354716000
TAGANROGSKIY ZALIV;354811000
FRIO OCEANIC;354871000
KENTA MARU;354874000
KANO REEFER;354929000
FRIO STAR;354962000
PROCYON;355076000
YUNG DA FA 102;355141000
SHIN IZU;355168000
SALGIR;355199000
ORIENTAL CHILAN;355317000
ORIENTAL  CHILAN;355317000
YUNG DA FA108;355513000
HOLANDES;355687000
GLOBAL MARINER;355720000
HARIMA;355739000
NEW TAKATSUKI;355802000
HAI FENG 728;355827000
HARU;355832000
JONATHAN ACE;355874000
JOCHOH;355966000
BAO WIN;356065000
TRITON REEFER;356155000
YUNG DA FA 102;356189578
TAIHO MARU;356203000
ATLANTIC GEM;356258000
SUAH;356386000
HE TAI;356399000
HAIFENG 618;356514000
ASIAN COSMOS;356517000
SHANGHAI REEFER;356567000
WINSHENG;356591000
FRIO LAS PALMAS;356609000
DON REEFER;356728000
SHIN HANG 6;356878000
ANGARA;356889000
URUGUAY REEFER;356962000
DESIGNER KNYSH;356986000
NO.2 POHAH;357058000
YONG HANG 3;357172000
BAO REEFER;357433000
TAI JI;357497000
FRIO SPAIN;357642000
SARONIC BREEZE;357670000
FRIO MOGAMI;357735000
VICTORIA NO.168;357788000
SKYFROST;357805000
YONG XIANG 9;357832000
ST.JUDE;366164050
INDEPENDENCE;366299000
R.M. THORSTENSON;366577000
OCEAN PHOENIX;366588000
WESTWARD;366688750
DILIGENCE;366721880
VIXEN;366744930
PACIFIC PRODUCER;366761170
DOLPHIN;366762440
CACHALOT;366764080
CHAMAI;366841470
CAPE ST JOHN;366888160
EASTERN   WIND;366899490
KELLY MAE;366961020
KATHLEEN K;366993790
BARONESS;367012650
YANKEE CLIPPER;367016340
NEW ST JOSEPH;367018680
NEW ST. JOSEPH;367018680
LOGGER;367019320
DOROTHEA;367026930
ALASKA EAGLE;367028430
MADISON.HUNTER;367028490
WINDWARD;367038430
NOTORIOUS;367039940
GANDIL;367040180
HAIDA CHIEF;367041530
LADY HELEN;367041640
TUXEDNI;367081420
JENNIFER A;367097520
KONA KAI;367098030
ENTRANCE POINT;367098190
AKEMI;367107030
AFOGNAK;367108420
BARWELL;367108640
CARMELA;367113130
WILD SALMON;367116310
NOR`QUEST;367119230
NAKNEK SPIRIT;367119930
CRANE;367122990
CAPE DENBIGH;367124290
KATRINA EM;367137170
TOTEM;367139360
CAMAI;367165270
DECEPTION;367171480
SEA ERN;367176240
DOLPHIN;367186180
SELDOVIA;367187410
BRUIN BAY;367302960
LOIS ANDERSON;367312010
HARMONY 1;367348005
RELIANCE;367348240
HARMONY I;367348340
LAST FRONTIER;367392530
ALEUTIAN FALCON;367395640
OCEAN MAID;367402920
DECO BAY;367438060
CAPE GREIG;367445470
LINDA B;367452240
DEBBIE SUE;367474110
ST.JUDE;367476250
NUSHAGAK SPIRIT;367486040
MUSKRAT;367488280
KAMILAR;367489280
NORTHERN SPIRIT;367490930
ISLAND TRADER;367492890
VIKING;367494020
NATIVE SUN;367510750
GORDON JENSEN;367526070
SHELTER COVE;367534430
AKUTAN;367545050
STEELHEAD;367561070
BERING BEAUTY;367615570
NOTORIOUS;367632260
PLAN SEA;367650970
POLAR LADY;367676010
VIKING QUEEN;367724590
VIKING.QUEEN;367777000
SM-3;368077070
ALASKA EAGLE;368094530
NAKNEK SPIRIT;368175000
SAVAGE;368213000
COASTAL NAVIGATOR;368219000
SEA TRADER;368251000
ROGUE;368633000
COASTAL TRADER;368682000
FONG KUO NO.819;370070000
YONG XIANG 3;370136000
SEA PEARL I;370190000
IBUKI;370599000
SEIWA;370866000
FORTUNA REEFER;370890000
ANGEL I;370981000
YUNG DA FA 101;371100000
HUA FU 207;371156000
HAI FA;371295000
HAI FENG 895;371322000
HAI FENG 628;371335000
NO1 POHAH;371542000
TAI XING;371565000
HAI FENG 698;371717000
DAFENG MARINER;371718984
DA FENG MARINER;371719000
RYOMA;371727000
GEMINI;371778000
JONATHAN STAR;371785000
FRIO POSEIDON;371812000
SHUN HANG;372033000
MEITA MARU;372047000
FRIO OLYMPIC;372107000
MV KRASKINO;372177000
SEA STAR V;372210000
HUA JIAN 107;372387000
HUAN YU 1;372538000
MV EURO STAR;372594000
FULL KUO SHIN;372768000
CHANG SHUN 1;372886000
HAI FENG 638;372910000
HOUTA MARU;372942000
HAI FENG 688;373039000
FUTAGAMI;373381000
HANARO;373417000
FRIO ATLANTIC;373443000
ZEFYROS REEFER;373451000
FRIO ANTARCTIC I;373731000
FRIO IONIAN;373755000
FRIO DOLPHIN;373897000
PONTOS;374014000
SHIN HO CHUN NO.101;374048000
PS REEFER;374083000
M/V SEA GLORY II;374115000
SHIN HO CHUN NO.102;374140000
HAN XING;374173000
HAI FENG 718;374198000
HIKARI 1;374244000
MING HANG 8;374290000
TAI FU NO.1;374317000
M/V IRIS REEFER;374321000
HSIANG HAO;374363000
YONG HANG 9;374407000
YONG XIANG 8;374410000
QI HANG;374445000
HARU;374446000
HAI FENG 678;374610000
YONG XIANG 7;374612000
YUN RUN 3;374723000
LADY TUNA;374762000
GRANADA CARRIER;374769000
FRIO MARATHON;374813000
ISLAND REEFER;374831000
GENTA MARU;374888000
SHIN FUJI;374906000
FRIO GALICIA;374996000
MINGYANG;375501000
MV BARANA;377906047
TAI XIANG;412203740
LURONGYUANYUYUN001;412331049
LURONGYUANYUYUN998;412331167
LUWENYUANYUYUN 888;412331177
FV.LUWEIYUANYUYUN777;412331208
LURONGYUANYUYUN177;412336769
LURONGYUANYUYUN008;412336831
LURONGYUANYUYUN008;412336888
KAI CHUANG 101;412371219
KAI CHUANG 102;412371221
MINGFA;412401230
ZHEZHOUYULENG220;412420105
ZHE PU YUAN LENG 208;412420155
ZHEPUYULENG208;412420155
XINZHOULUN;412420329
XINZHOU;412420329
RONGZHOULUN;412420331
RONGZHOU;412420331
NING TAI LENG 1;412420808
MING FA;412420829
NINGTAILENG2;412420937
NINGTAILENG7;412421049
NINGTAILENG7@ 7;412421049
XINJILILENG6;412421071
PING TAI RONG LENG1;412421073
PINGTAIRONGLENG2;412421074
ZHONG JU LENG1;412421078
JIN ZHOU;412421088
PU YUAN LENG 7;412423656
PUYUANLENG7;412423656
OU YA LENG 6;412436952
FU YUAN YU F53;412440033
FU YUAN YU LENG 36;412440239
FU YUAN YU YUN 87;412440364
FU YUAN YU LENG 999;412440493
FU YUAN YU YUN 65;412440515
FU YUAN YU YUN 688;412440656
FU YUAN YU YUN 995;412440687
FU YUAN YUN 997;412440688
FU YUAN YU YUN 993;412440723
FU YUAN YU YUN 699;412440754
NING TAI LENG 8;412549015
NINGTAILENG5;412549032
LURONGYUANYUYUN888;412549037
LURONGYUANYUYUN999;412549038
XING WANG 99;412549166
FU YIAN YU F86;412694950
JULONG1;413205170
JULONG2;413205180
YONG FA YUN 12;413459190
FU YUAN YU F76;413692650
YUAN TAI NO.806;416001900
YUAN TAI NO.8O6;416001900
FENG HAI NO.1;416064900
DONG HORNG NO.899;416064900
HO YUAN;416110700
CHEN YU NO.7;416308000
YONG MAN SHUN;416521000
HER WEN NO.1;416542000
LIAN CHUANSHENG NO66;416567000
SHUN TIAN FA 168;416602000
SHUN TIAN FA NO.168;416602000
FU JYI;416696000
SHENG HONG;416702000
LIAN JYI HSING;416730000
WIN SHUEN SHING;416778000
CHANG CHING NO.1;416788000
JIN-HWEI-NO101;416861000
JIN HWEI NO.101;416861000
KOOSHA3;422733000
GENPUKUMARU NO.38;431001964
ISHIDAMARU NO.67;431002828
NO17 TAIYUMARU;431008914
NITTOMARU NO.36;431012000
NAMIICHIMARU NO56;431013322
SOHOMARU NO.26;431072000
HIYOSHIMARU;431100318
NO.35 YAMASENMARU;431100732
TAIYO MARU NO.38;431100941
GENPUKUMARU NO.61;431200142
TAISEIMARU NO.15;431201000
GOUTAMARU;431263000
GENPUKUMARU NO.63;431600125
GENPUKUMARU NO.67;431601121
GENPUKUMARU NO.68;431601134
DAIEIMARU NO.58;431601301
NO82KIYOMARU;431601458
TAISEI MARU NO.24;431678000
NO.33 NITTOMARU;431700203
KENTA MARU;431793000
SYOTOKU MARU NO37;431800120
NO.16WAJIMAMARU;431900242
NO.17WAJIMAMARU;431900249
LAKE NOVA;440014000
SEIWA;440046000
SEIN SKY;440097000
MONONOK;440101000
M.V.SALT LAKE;440116000
111KWANGMYEONG;440116610
SEIN VENUS;440170000
SEIN QUEEN;440214000
BADARO;440217000
ORION NO.1;440220000
LAKE CASTLE;440222000
OCEANUS;440237000
SEIN VENUS;440241000
SEIYU;440283000
M/V LAKE GLORY;440523000
SEIHO;440571000
SL BOGO;440664000
DHARA;440686000
SEISHIN;441032000
SUNFLOWER 7;441034000
SL ARCHI;441240000
LAKE AURORA;441258000
CHERRY STAR;441377000
SEIBU;441418000
LAKE PEARL;441473000
SEIN PHOENIX;441618000
SOHOH;441690000
LAKE WIN;441720000
M/V KATAH;441822000
M/V IRIS;441834000
M/V SEIN STAR;441923000
JOCHOH;441987000
KINGFISH 1;503031040
ASIA STAR NO.1;510022000
TASMAN CHALLENGER;512003604
MING FENG;514266000
MING HANG 8;514298000
HAI TONG;515088000
YONGXIANG8;515183000
QIHANG;515777000
BANDAR NELAYAN 2017;525500839
BANDAR NELAYAN 271;525500840
SHIN HO CHUN NO.102;529086000
LAKE HILL;529087000
HUA JIAN 1;529101000
TAI FU 3;529105000
YUNG DA FA 101;529132000
SEIWA;529304000
FULL KUO SHIN;529346000
HUA JIAN 107;529354000
YUN RUN 3;529578000
MIN TAI LENG;529606000
MV KRASKINO;529730000
WEI SHUN;529764000
ZHONG XIANG;529781000
WEI LI;529837000
ZHONGZHOU1;529844000
MING FENG;529874000
KHA YANG 333;533000333
BARON;538002994
NO1 POHAH;538002996
MARIA ERLINDA;548003100
F/V KENKEN 888;548222100
SAN ANDRES 179;548793000
CHITOSE;563418000
SATSUMA;564044000
LADY TUNA;576107000
TUNA PRINCESS;576139000
LA MANCHE;576195000
SHIN FUJI;576276000
SHIN IZU;576277000
HOUTA MARU;576285000
GENTA MARU;576328000
YU HSIANG MARU;576395000
KAIHO MARU;576397000
TENHO MARU;576414000
MEITA MARU;576419000
VICTORIA;576420000
OCEANUS;576507000
FUTAGAMI;576687000
FRIO DOLPHIN;576688000
ZEFYROS;576689000
FRIO ATHENS;576711000
LUNG YUIN;576728000
SHOTA MARU;576732000
TAIHO MARU;577077000
TALOFA;577082000
BADARO;577089000
HARU;577102000
RYOMA;577105000
HARIMA 2;577106000
IBUKI;577122000
CHIKUMA;577132000
HSIANG FU;577161000
TAISEIMARU NO15;577168000
TAISEIMARU NO.15;577169000
SUNNY LISA;613003558
SILVER ICE;616401000
BLUE ICE;616575000
SALY REEFER;616735000
GABU REEFER;616852000
SOLARTE;616885000
DUBREKA;616999336
TRITON REEFER;636008972
FRIO IONIAN;636009737
ELBRUS;636010125
CAPE BELLE;636011004
FRIO OLYMPIC;636012261
ECUADOR STAR;636012749
ACONCAGUA BAY;636013146
WIND FROST;636013648
FUJI BAY;636013651
INVINCIBLE;636014343
TAGANROGSKIY ZALIV;636014471
PRINCE OF STREAM;636015528
BALTIC PIONEER;636016278
GREEN GLACIER;636016700
GREEN CONCORDIA;636016998
NOVA STELLA;636017010
CHIKUMA;636017108
MEITA MARU;636017161
GENTA MARU;636017162
VICTORIA II;636017275
FUTAGAMI;636017301
SHOTA MARU;636017359
TAIHO MARU;636017396
TENHO MARU;636017468
ZHONG XIANG;636017556
HE SHUN;636017561
WEI LI;636017709
WEI SHUN;636017752
REINA;636018009
BAO REEFER;636018031
WEI NING;636018227
LAGOON PHOENIX;636018499
PRINCE OF TIDES;636091097
PRINCE OF SEAS;636091098
LAGOON PHOENIX;636092421
WATER PHOENIX;636092422
BAY  PHOENIX;636092423
KAIHO MARU;664090000
OCEAN STAR 98;667001392
ZHONG ZHOU 1;667003248
HENG XING 1;667003426
QIAN YUAN;671918000
MAJD;672525000
DON LUIS;725000573
SEIFYR;725000879
ORCA CHONO;725000926
CACIQUE I;725000930
PATAGON 7;725000949
RONIA AUSTRAL;725000962
RIO DULCE II;725000983
RIO DULCE III;725001031
TYR;725001071
VALI;725001072
ORCA YAGAN;725001221
RONIA ATLANTIC;725001544
PATAGON III;725001940
PATAGON IV;725002370
RONIA PIONEER;725002634
PATAGON V;725002730
RONIA DIAMOND;725002783
RONIA AUSTRAL;725003022
SEIBRIS;725003109
SAGA;725003720
SEIKAPP;725004230
BUCALEMU;725004310
LOKI;725004340
ORCA ONA;725004350
ALCANTARA;725008300
SEIVAG;725012400
RIO DULCE;725013100
SEIFJORD;725014700
ORION_S;730151013
